Fecha Venta,Año,Semana Venta,Desc Producto,Presentacion,Tipo Producto,Cant. Vendida,Precio de Venta,Venta Total
2022-07-12,2022,2,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-12,2022,2,Dulce de Brevas,,Otros Dulces,1,12000.0,12000
2022-07-12,2022,2,Rosquillas Reina,,Snack,3,1000.0,3000
2022-07-12,2022,2,Gomas Trululu Aros,,Dulces,2,150.0,300
2022-07-13,2022,2,Dulce de Brevas,,Otros Dulces,2,12000.0,24000
2022-07-13,2022,2,Manzana PET,2.5 L,Gaseosa,2,4500.0,9000
2022-07-13,2022,2,Galletas Festival Surtidas,,Galletas,3,700.0,2100
2022-07-13,2022,2,Papas Margaritas Surtidas,,Snack,14,1600.0,22400
2022-07-13,2022,2,Agua Cristal Con Gas,600 ml,Agua,3,1500.0,4500
2022-07-13,2022,2,Cerveza Andina Lata,473 ml,Cerveza,6,2600.0,15600
2022-07-13,2022,2,Pepsi PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-13,2022,2,Jugo Hit Mango,500 ml,Jugos,1,2200.0,2200
2022-07-13,2022,2,Jugo Hit Mora,500 ml,Jugos,1,2200.0,2200
2022-07-13,2022,2,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-13,2022,2,COSTEÑA BACANA LATA 330CCX6 - 14709,330 ml,Cerveza,2,2000.0,4000
2022-07-13,2022,2,Budweiser Lta CO 269,269 ml,Cerveza,4,2200.0,8800
2022-07-13,2022,2,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-13,2022,2,Rosquillas Reina,,Snack,1,1000.0,1000
2022-07-13,2022,2,Club Col Lta 330X6 N - 5252,330 ml,Cerveza,2,2800.0,5600
2022-07-14,2022,2,Pepsi PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-14,2022,2,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-14,2022,2,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-14,2022,2,Papas Margaritas Surtidas,,Snack,4,1600.0,6400
2022-07-14,2022,2,Dulce de Brevas,,Otros Dulces,1,12000.0,12000
2022-07-14,2022,2,Galletas Festival Surtidas,,Galletas,2,700.0,1400
2022-07-14,2022,2,Pepsi PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-14,2022,2,Club Col Lta 330X6 N - 5252,330 ml,Cerveza,3,2800.0,8400
2022-07-15,2022,2,Pepsi PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-15,2022,2,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-15,2022,2,Papas Margaritas Surtidas,,Snack,8,1600.0,12800
2022-07-15,2022,2,Pony Malta Pet 1.5LX 6 - 2224,1.5 L,Bebidas,1,4000.0,4000
2022-07-15,2022,2,Budweiser Lta CO 269,269 ml,Cerveza,3,2200.0,6600
2022-07-15,2022,2,Poker Lta 330cc,330 ml,Cerveza,1,2500.0,2500
2022-07-15,2022,2,Naranja PET,2 L,Gaseosa,2,3500.0,7000
2022-07-15,2022,2,Dulce de Brevas,,Otros Dulces,1,12000.0,12000
2022-07-15,2022,2,Jugo Hit Mora,500 ml,Jugos,1,2200.0,2200
2022-07-15,2022,2,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-15,2022,2,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-15,2022,2,Pony Malta PET,330 ml,Bebidas,4,1800.0,7200
2022-07-16,2022,2,Budweiser Lta CO 269,269 ml,Cerveza,6,2200.0,13200
2022-07-16,2022,2,Agua Cristal,600 ml,Agua,4,1200.0,4800
2022-07-16,2022,2,Pepsi PET,400 ml,Gaseosa,3,1800.0,5400
2022-07-16,2022,2,Bebida Energizante Speed,400 ml,Bebidas,3,1500.0,4500
2022-07-16,2022,2,Manzana PET,400 ml,Gaseosa,3,1800.0,5400
2022-07-16,2022,2,Papas Margaritas Surtidas,,Snack,2,1600.0,3200
2022-07-16,2022,2,Cerveza Andina Lata,473 ml,Cerveza,1,2600.0,2600
2022-07-16,2022,2,Pony Malta PET,330 ml,Bebidas,2,1800.0,3600
2022-07-16,2022,2,Rosquillas Reina,,Snack,1,1000.0,1000
2022-07-16,2022,2,Agua Cristal Con Gas,600 ml,Agua,3,1500.0,4500
2022-07-16,2022,2,Gomas Trululu Aros,,Dulces,14,150.0,2000
2022-07-16,2022,2,Manzana PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-16,2022,2,Gomas Trululu Aros,,Dulces,1,150.0,150
2022-07-16,2022,2,Bebida Energizante Speed,250 ml,Bebidas,3,1200.0,3600
2022-07-16,2022,2,Galletas Festival Surtidas,,Galletas,1,700.0,700
2022-07-16,2022,2,Colombiana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-16,2022,2,Mr Tea Limon,500 ml,Bebidas,1,2000.0,2000
2022-07-16,2022,2,Jugo Hit Mora,500 ml,Jugos,2,2200.0,4400
2022-07-16,2022,2,Jugo Hit Lulo,500 ml,Jugos,1,2200.0,2200
2022-07-16,2022,2,Poker Lta 330cc,330 ml,Cerveza,1,2500.0,2500
2022-07-16,2022,2,COSTEÑA BACANA LATA 330CCX6 - 14709,330 ml,Cerveza,1,2000.0,2000
2022-07-16,2022,2,Margarita Pollo,35 g,Snack,1,2000.0,2000
2022-07-16,2022,2,Cheetos Boli Queso 35g,35 g,Snack,1,1500.0,1500
2022-07-16,2022,2,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-17,2022,2,Agua Cristal Con Gas,600 ml,Agua,3,1500.0,4500
2022-07-17,2022,2,Bebida Energizante Speed,400 ml,Bebidas,1,1500.0,1500
2022-07-17,2022,2,Gomas Trululu Aros,,Dulces,6,150.0,900
2022-07-17,2022,2,Gomas Trululu Aros,,Dulces,7,150.0,1000
2022-07-17,2022,2,Mr Tea Limon,500 ml,Bebidas,1,2000.0,2000
2022-07-17,2022,2,Agua Cristal,600 ml,Agua,1,1200.0,1200
2022-07-17,2022,2,Jugo Hit Naranja Piña,500 ml,Jugos,1,2200.0,2200
2022-07-17,2022,2,Jugo Hit Lulo,500 ml,Jugos,1,2200.0,2200
2022-07-17,2022,2,Papas Margaritas Surtidas,,Snack,1,1600.0,1600
2022-07-17,2022,2,Manzana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-18,2022,3,Bebida Energizante Speed,250 ml,Bebidas,1,1200.0,1200
2022-07-18,2022,3,Pepsi PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-18,2022,3,Margarita Pollo,35 g,Snack,8,2000.0,16000
2022-07-18,2022,3,Jugo Hit Naranja Piña,500 ml,Jugos,2,2200.0,4400
2022-07-18,2022,3,Cheetos Boli Queso,20 g,Snack,2,1200.0,2400
2022-07-18,2022,3,Colombiana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-18,2022,3,Rosquillas Reina,,Snack,1,1000.0,1000
2022-07-18,2022,3,Pony Malta Pet 1.5LX 6 - 2224,1.5 L,Bebidas,1,4000.0,4000
2022-07-18,2022,3,Cheetos Boli Queso 35g,35 g,Snack,1,1800.0,1800
2022-07-18,2022,3,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-18,2022,3,Manzana PET,250 ml,Gaseosa,1,1300.0,1300
2022-07-18,2022,3,Colombiana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-18,2022,3,Manzana PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-18,2022,3,Galletas Festival Surtidas,,Galletas,1,700.0,700
2022-07-19,2022,3,Manzana PET,2.5 L,Gaseosa,3,4500.0,13500
2022-07-19,2022,3,Margarita Pollo,35 g,Snack,2,2000.0,4000
2022-07-19,2022,3,Agua Cristal,600 ml,Agua,2,1200.0,2400
2022-07-19,2022,3,Cheetos Boli Queso,20 g,Snack,1,1200.0,1200
2022-07-19,2022,3,Bebida Energizante Speed,250 ml,Bebidas,1,1200.0,1200
2022-07-19,2022,3,Cheetos Boli Queso 35g,35 g,Snack,1,1800.0,1800
2022-07-19,2022,3,Naranja PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-19,2022,3,Margarita Ondulada Mayonesa,35 g,Snack,3,2000.0,6000
2022-07-19,2022,3,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-19,2022,3,Cheetos Natural,40 g,Snack,1,1800.0,1800
2022-07-19,2022,3,Aguila Lig Lta 330cc,330 ml,Cerveza,2,2500.0,5000
2022-07-19,2022,3,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-19,2022,3,Budweiser Lta CO 269,269 ml,Cerveza,1,2200.0,2200
2022-07-19,2022,3,Bebida Energizante Speed,400 ml,Bebidas,1,1500.0,1500
2022-07-19,2022,3,Detodito Mix,50 g,Snack,3,2500.0,7500
2022-07-19,2022,3,Papas Margaritas Surtidas,,Snack,1,1600.0,1600
2022-07-19,2022,3,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-20,2022,3,Jugo Hit Naranja Piña,500 ml,Jugos,1,2200.0,2200
2022-07-20,2022,3,Poker Lta 330cc,330 ml,Cerveza,3,2500.0,7500
2022-07-20,2022,3,Cerveza Andina Lata,473 ml,Cerveza,2,2600.0,5200
2022-07-20,2022,3,Galletas Festival Surtidas,,Galletas,1,700.0,700
2022-07-20,2022,3,Margarita Natural,35 g,Snack,1,2000.0,2000
2022-07-20,2022,3,Gomas Trululu Aros,,Dulces,2,150.0,300
2022-07-20,2022,3,Jugo Hit Lulo,500 ml,Jugos,1,2000.0,2000
2022-07-21,2022,3,Colombiana PET,1.5 L,Gaseosa,2,3500.0,7000
2022-07-21,2022,3,Naranja PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-21,2022,3,Agua Cristal,600 ml,Agua,3,1200.0,3600
2022-07-21,2022,3,Margarita Ondulada Mayonesa,35 g,Snack,3,2000.0,6000
2022-07-21,2022,3,Margarita Ondulada Tomate,35 g,Snack,1,2000.0,2000
2022-07-21,2022,3,Margarita Natural,35 g,Snack,1,2000.0,2000
2022-07-21,2022,3,Manzana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-21,2022,3,Rosquillas Reina,,Snack,3,1000.0,3000
2022-07-21,2022,3,Dulce de Brevas,,Otros Dulces,2,12000.0,24000
2022-07-21,2022,3,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-21,2022,3,Pepsi PET,3.125 L,Gaseosa,1,6000.0,6000
2022-07-21,2022,3,Naranja PET,2 L,Gaseosa,1,3500.0,3500
2022-07-21,2022,3,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-21,2022,3,Galletas Festival Surtidas,,Galletas,1,700.0,700
2022-07-22,2022,3,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-22,2022,3,Colombiana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-22,2022,3,Gomas Trululu Aros,,Dulces,11,150.0,1650
2022-07-22,2022,3,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-22,2022,3,Cheetos Natural,40 g,Snack,1,1800.0,1800
2022-07-22,2022,3,Detodito Mix,50 g,Snack,2,2500.0,5000
2022-07-22,2022,3,Bebida Energizante Speed,400 ml,Bebidas,2,1500.0,3000
2022-07-22,2022,3,Dulce de Brevas,,Otros Dulces,1,12000.0,12000
2022-07-22,2022,3,Jugo Hit Mango,500 ml,Jugos,1,2200.0,2200
2022-07-22,2022,3,Manzana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-22,2022,3,Rosquillas Reina,,Snack,1,1000.0,1000
2022-07-22,2022,3,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-22,2022,3,Margarita Pollo,35 g,Snack,1,2000.0,2000
2022-07-22,2022,3,Manzana PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-22,2022,3,Agua Cristal,600 ml,Agua,3,1200.0,3600
2022-07-22,2022,3,Pony Malta PET,330 ml,Bebidas,4,1800.0,7200
2022-07-22,2022,3,Cheetos Boli Queso 35g,35 g,Snack,1,1800.0,1800
2022-07-22,2022,3,Margarita Natural,35 g,Snack,2,2000.0,4000
2022-07-22,2022,3,Coca Cola,3 L,Gaseosa,2,7000.0,14000
2022-07-23,2022,3,Agua Cristal,600 ml,Agua,3,1200.0,3600
2022-07-23,2022,3,Manzana PET,1.5 L,Gaseosa,1,3500.0,3500
2022-07-23,2022,3,Dulce de Brevas,,Otros Dulces,1,12000.0,12000
2022-07-23,2022,3,Gomas Trululu Aros,,Dulces,8,150.0,1200
2022-07-23,2022,3,Cheetos Trissitos Picantes,40 g,Snack,3,1800.0,5400
2022-07-23,2022,3,Jugo Hit Mango,500 ml,Jugos,1,2200.0,2200
2022-07-23,2022,3,Pony Malta PET,330 ml,Bebidas,9,1800.0,16200
2022-07-23,2022,3,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-23,2022,3,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-23,2022,3,CLUB COL DOBLE MALTA LATA 330,330 ml,Cerveza,3,2800.0,8400
2022-07-23,2022,3,Budweiser Lta CO 269,269 ml,Cerveza,1,2200.0,2200
2022-07-23,2022,3,Margarita Natural,35 g,Snack,2,2000.0,4000
2022-07-23,2022,3,Papas Margaritas Surtidas,,Snack,1,1600.0,1600
2022-07-23,2022,3,Cheetos Boli Queso 35g,35 g,Snack,1,1800.0,1800
2022-07-23,2022,3,Jugo Hit Lulo,500 ml,Jugos,1,2200.0,2200
2022-07-23,2022,3,Galletas Festival Surtidas,,Galletas,1,700.0,700
2022-07-23,2022,3,Pepsi PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-24,2022,3,Gatorade,500 ml,Bebidas,1,3000.0,3000
2022-07-24,2022,3,Gomas Trululu Aros,,Dulces,5,150.0,750
2022-07-24,2022,3,Cerveza Andina Lata,473 ml,Cerveza,6,2600.0,15600
2022-07-24,2022,3,Coca Cola Lata,235 ml,Gaseosa,1,1600.0,1600
2022-07-24,2022,3,Colombiana Cero PET,1 L,Gaseosa,1,2300.0,2300
2022-07-25,2022,4,Manzana PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-25,2022,4,Detodito Mix,50 g,Snack,1,2500.0,2500
2022-07-25,2022,4,Poker Lta 330cc,330 ml,Cerveza,4,2500.0,10000
2022-07-25,2022,4,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-25,2022,4,Margarita Natural,35 g,Snack,2,2000.0,4000
2022-07-25,2022,4,Coca Cola Lata,235 ml,Gaseosa,1,1600.0,1600
2022-07-25,2022,4,Mani Moto Natural,48 g,Snack,3,1400.0,4200
2022-07-25,2022,4,Naranja PET,2 L,Gaseosa,1,3500.0,3500
2022-07-25,2022,4,Detodito BBQ,50 g,Snack,3,2500.0,7500
2022-07-25,2022,4,Pepsi PET,400 ml,Gaseosa,2,1800.0,3600
2022-07-25,2022,4,Cheesse Tris Queso,42 g,Snack,2,1500.0,3000
2022-07-25,2022,4,Cheetos Boli Queso,20 g,Snack,1,1200.0,1200
2022-07-25,2022,4,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-25,2022,4,Margarita Limon,35 g,Snack,1,2000.0,2000
2022-07-25,2022,4,Galletas Festival Surtidas,,Galletas,4,700.0,2800
2022-07-25,2022,4,Manzana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-25,2022,4,Mani Sal Bary,40 g,Snack,1,600.0,600
2022-07-25,2022,4,Mani Sal Bary,40 g,Snack,1,1000.0,1000
2022-07-25,2022,4,Agua Cristal,600 ml,Agua,2,1200.0,2400
2022-07-25,2022,4,Gomas Trululu Aros,,Dulces,6,150.0,900
2022-07-25,2022,4,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-26,2022,4,Naranja PET,2 L,Gaseosa,2,3500.0,7000
2022-07-26,2022,4,Gomas Trululu Aros,,Dulces,10,150.0,1500
2022-07-26,2022,4,Pepsi PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-26,2022,4,Jugo Hit Mango,500 ml,Jugos,1,2200.0,2200
2022-07-26,2022,4,Galletas Festival Surtidas,,Galletas,1,700.0,700
2022-07-26,2022,4,Manzana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-26,2022,4,Cheetos Natural,40 g,Snack,1,1800.0,1800
2022-07-26,2022,4,Poker Lta 330cc,330 ml,Cerveza,2,2500.0,5000
2022-07-26,2022,4,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-26,2022,4,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-26,2022,4,Mani Moto NK Sal,23 g,Snack,1,600.0,600
2022-07-27,2022,4,Naranja PET,2 L,Gaseosa,1,3500.0,3500
2022-07-27,2022,4,Jugo Hit Mora,500 ml,Jugos,1,2200.0,2200
2022-07-27,2022,4,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-27,2022,4,Papas Margaritas Surtidas,,Snack,1,1600.0,1600
2022-07-27,2022,4,Manzana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-27,2022,4,Gomas Trululu Aros,,Dulces,6,150.0,900
2022-07-27,2022,4,Cheesse Tris Queso,42 g,Snack,2,1800.0,3600
2022-07-27,2022,4,Agua Cristal,600 ml,Agua,6,1200.0,7200
2022-07-27,2022,4,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-27,2022,4,Cheetos Trissitos Picantes,40 g,Snack,1,1800.0,1800
2022-07-27,2022,4,Coca Cola,3 L,Gaseosa,2,7000.0,14000
2022-07-27,2022,4,Galletas Festival Surtidas,,Galletas,2,700.0,1400
2022-07-27,2022,4,Mani Sal Bary,40 g,Snack,4,1000.0,4000
2022-07-27,2022,4,Pony Malta PET,330 ml,Bebidas,1,1800.0,1800
2022-07-27,2022,4,Poker Lta 330cc,330 ml,Cerveza,2,2500.0,5000
2022-07-27,2022,4,Uva PET,1 L,Gaseosa,1,2300.0,2300
2022-07-28,2022,4,Naranja PET,2 L,Gaseosa,1,3500.0,3500
2022-07-28,2022,4,Agua Cristal,600 ml,Agua,2,1200.0,2400
2022-07-28,2022,4,Jugo Hit Frutas Tropicales,500 ml,Jugos,1,2200.0,2200
2022-07-28,2022,4,Pepsi PET,400 ml,Gaseosa,2,1800.0,3600
2022-07-28,2022,4,Gomas Trululu Aros,,Dulces,4,150.0,600
2022-07-28,2022,4,Margarita Pollo,35 g,Snack,1,2000.0,2000
2022-07-28,2022,4,Agua Cristal Con Gas,600 ml,Agua,2,1500.0,3000
2022-07-28,2022,4,Pony Malta PET,330 ml,Bebidas,3,1800.0,5400
2022-07-28,2022,4,Cheetos Boli Queso,20 g,Snack,1,1200.0,1200
2022-07-28,2022,4,Uva PET,1 L,Gaseosa,1,2300.0,2300
2022-07-28,2022,4,Jugo Hit Mora,500 ml,Jugos,1,2200.0,2200
2022-07-28,2022,4,Margarita Ondulada Mayonesa,35 g,Snack,1,2000.0,2000
2022-07-28,2022,4,Galletas Festival Surtidas,,Galletas,2,700.0,1400
2022-07-29,2022,4,Jugo Hit Mora,500 ml,Jugos,1,2200.0,2200
2022-07-29,2022,4,Manzana PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-29,2022,4,H2OH! Pet 600 ml,600 ml,Bebidas,1,2800.0,2800
2022-07-29,2022,4,Agua Cristal,600 ml,Agua,5,1200.0,6000
2022-07-29,2022,4,Pepsi PET,2.5 L,Gaseosa,1,4500.0,4500
2022-07-29,2022,4,Pepsi PET,2.5 L,Gaseosa,1,4000.0,4000
2022-07-29,2022,4,Detodito BBQ,50 g,Snack,1,2500.0,2500
2022-07-29,2022,4,Margarita Pollo,35 g,Snack,1,2000.0,2000
2022-07-29,2022,4,Coca Cola Lata,235 ml,Gaseosa,1,1600.0,1600
2022-07-29,2022,4,Jugo Hit Naranja Piña,500 ml,Jugos,3,2200.0,6600
2022-07-29,2022,4,Mani Moto NK Sal,23 g,Snack,2,600.0,1200
2022-07-29,2022,4,Gomas Trululu Aros,,Dulces,12,150.0,1800
2022-07-29,2022,4,Uva PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-29,2022,4,Coca Cola,3 L,Gaseosa,1,7000.0,7000
2022-07-29,2022,4,Naranja PET,1 L,Gaseosa,1,2300.0,2300
2022-07-29,2022,4,Choclitos Limon,40 g,Snack,1,1800.0,1800
2022-07-29,2022,4,Cheetos Boli Queso,20 g,Snack,1,1200.0,1200
2022-07-29,2022,4,Agua Cristal Con Gas,600 ml,Agua,1,1500.0,1500
2022-07-29,2022,4,Naranja PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-29,2022,4,Bebida Energizante Speed,400 ml,Bebidas,1,1500.0,1500
2022-07-29,2022,4,Galletas Festival Surtidas,,Galletas,2,700.0,1400
2022-07-29,2022,4,Colombiana PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-29,2022,4,Cerveza Andina Lata,473 ml,Cerveza,3,2600.0,7800
2022-07-30,2022,4,Margarita Pollo,35 g,Snack,3,2000.0,6000
2022-07-30,2022,4,Agua Cristal,600 ml,Agua,4,1200.0,4800
2022-07-30,2022,4,Gomas Trululu Aros,,Dulces,9,150.0,1350
2022-07-30,2022,4,Poker Lta 330cc,330 ml,Cerveza,1,2500.0,2500
2022-07-30,2022,4,Aguila Lig Lta 330cc,330 ml,Cerveza,1,2500.0,2500
2022-07-30,2022,4,Jugo Hit Mora,500 ml,Jugos,2,2200.0,4400
2022-07-30,2022,4,Mani Moto Natural,48 g,Snack,2,1600.0,3200
2022-07-30,2022,4,Gatorade,500 ml,Bebidas,2,3000.0,6000
2022-07-30,2022,4,Agua Cristal Con Gas,600 ml,Agua,4,1500.0,6000
2022-07-30,2022,4,Uva PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-30,2022,4,Pepsi PET,400 ml,Gaseosa,1,1800.0,1800
2022-07-30,2022,4,Budweiser Lta CO 269,269 ml,Cerveza,18,2200.0,39600
2022-07-30,2022,4,Cerveza Andina Lata,473 ml,Cerveza,2,2600.0,5200
